e,Grad,Func
0.01,11,19
0.01,11,19
0.03,12,19
0.03,12,19
0.03,12,19
0.04,11,19
0.04,11,19
0.05,11,19
0.06,12,19
0.07,12,19
0.07,12,19
0.08,12,19
0.08,12,19
0.09,12,19
0.10,12,19
0.11,12,19
0.12,12,19
0.12,12,19
0.13,12,19
0.15,12,19
0.15,12,19
0.18,12,19
0.19,12,19
0.20,12,19
0.21,12,19
0.23,12,19
0.24,12,19
0.24,12,19
0.26,13,19
0.28,13,19
0.29,13,19
0.30,13,19
0.33,13,19
0.34,13,19
0.35,13,19
0.36,13,19
0.38,13,19
0.40,13,19
0.42,13,19
0.42,13,19
0.43,12,19
0.44,12,19
0.45,12,19
