LR,Epochs
0.05,151
0.02,374
0.03,251
0.04,189
0.05,151
0.06,126
0.07,108
0.09,83
0.13,57
0.16,45
0.20,35
0.22,32
0.25,27
0.29,23
0.32,20
0.36,17
0.41,14
0.44,12
0.47,10
0.52,9
0.56,11
0.59,11
0.62,13
0.63,13
0.66,15
0.69,17
0.72,19
0.76,22
0.78,25
0.79,26
0.82,31
0.84,35
0.87,44
0.90,58
0.94,96
0.97,186
0.98,273
